Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,699.833,759.2,59.367,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,771.967,870.667,98.7,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,885.267,981.033,95.766,,
,,,,,,,i,,,,1097.5,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,1097.867,1097.867,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,1100.767,1116.867,16.1,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,1119.733,1119.733,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1129.4,1129.4,,,
,,,,,,,q,,,,1222.0,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,1222.333,1222.333,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,1236.667,1236.667,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1266.2,1266.2,,,
,,,,,,,q,,,,1296.267,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,1296.567,1296.567,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,1299.033,1299.033,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1307.2,1307.2,,,
,,,,,,,q,,,,1319.033,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,1319.6,1319.6,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,1324.267,1324.267,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1330.733,1330.733,,,
,,,,,,,q,,,,1339.267,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,1340.033,1340.033,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,1344.133,1344.133,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1418.767,1418.767,,,
,,,,,,,q,,,,1447.333,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,1456.667,1456.667,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,1459.567,1459.567,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,1467.433,1467.433,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,1545.1,1576.467,31.367,,
